dependency_id	finding_ids	classification	origin_commit_sha	pivot_commit_shas	historical_branch_evidence	current_branch_evidence	rationale	confidence	status	notes	branch_master_ref	branch_historical_ref	branch_current_ref
DEP-001	C001,C002	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-002	C003	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-003	C004	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-004	C005,C006,C007,C008,C014,C015	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-005	C009	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-006	C011	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-007	C012	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-008	C013	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-009	PMA-S001,PMA-S002	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
DEP-ctl-001	C010	TBD	TBD	TBD	TBD	TBD	TBD	low	unresolved	seeded-from-phase2	upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	upstream/bitemyapp/ag2-opt-persistence-madvise-checkpoint-chaff-pma-gc-checkpoint-streaming	nockchain-bench-master-candidate
