branch	runtime	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	gc_per_1k_blocks	wall_clock	max_rss_kb	exit_status
current	native	v0_first1000	1000	0	2.82	41.12	41.12	24.32	0	81	0	1	1138.29	1138.29	0.00	0:44.16	1162156	0
current	native	v1_first1000	1000	0	2.75	40.04	40.04	24.98	0	80	0	1	1138.01	1138.01	0.00	0:43.02	1162088	0
current	native	v2_first1000	1000	0	2.74	40.14	40.14	24.91	0	80	0	1	1137.60	1137.60	0.00	0:43.10	1162412	0
current	docker	v0_first1000	1000	0	3.27	43.46	43.46	23.01	0	86	0	0	1138.31	1138.31	0.00	0:47.52	31204	0
current	docker	v1_first1000	1000	0	2.45	41.04	41.04	24.37	0	81	0	0	1138.14	1138.14	0.00	0:44.56	30804	0
current	docker	v2_first1000	1000	0	2.43	40.30	40.30	24.81	0	80	0	0	1138.02	1138.02	0.00	0:44.31	30268	0
streaming	native	v0_first1000	1000	0	3.26	13.87	13.87	72.10	0	30	0	1	1359.43	1359.42	0.00	0:17.46	1388220	0
streaming	native	v1_first1000	1000	0	3.17	13.77	13.77	72.60	0	30	0	1	1359.35	1359.34	0.00	0:17.27	1389572	0
streaming	native	v2_first1000	1000	0	3.26	13.83	13.83	72.29	0	30	0	1	1358.61	1358.61	0.00	0:17.44	1388304	0
streaming	docker	v0_first1000	1000	0	3.56	14.00	14.00	71.44	0	30	0	3	1280.66	1278.25	0.00	0:18.16	30536	0
streaming	docker	v1_first1000	1000	0	3.04	13.98	13.98	71.55	0	30	0	2	1279.83	1278.34	0.00	0:17.59	30512	0
streaming	docker	v2_first1000	1000	0	3.06	14.04	14.04	71.23	0	30	0	2	1277.81	1277.45	0.00	0:17.67	30580	0
btree	native	v0_first1000	1000	0	3.36	14.35	14.35	69.69	0	31	0	1	1487.64	1487.62	0.00	0:18.08	1520300	0
btree	native	v1_first1000	1000	0	3.20	14.27	14.27	70.07	0	31	0	1	1487.70	1487.69	0.00	0:17.80	1521464	0
btree	native	v2_first1000	1000	0	3.20	14.15	14.15	70.69	0	30	0	1	1486.76	1486.75	0.00	0:17.70	1519812	0
btree	docker	v0_first1000	1000	0	3.33	160.41	160.41	6.23	0	244	0	243	1348.65	1347.72	0.00	2:44.29	30524	0
btree	docker	v1_first1000	1000	0	3.22	167.44	167.44	5.97	0	252	0	251	1348.78	1347.32	0.00	2:51.22	31296	0
btree	docker	v2_first1000	1000	0	3.28	162.06	162.06	6.17	0	246	0	245	1347.97	1347.26	0.00	2:45.99	30028	0
