pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log
1	native	master	v0	100	0	2.81	4.10	40.99	24.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.06	1086220	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v0/time.txt
1	native	master	v1	100	0	2.82	4.09	40.92	24.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.06	1086208	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v1/time.txt
1	native	master	v2	100	0	2.94	3.94	39.41	25.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.03	1086168	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/master/v2/time.txt
1	native	bump PMA	v0	100	0	3.40	1.30	13.01	76.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.88	1192448	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v0/time.txt
1	native	bump PMA	v1	100	0	3.37	1.29	12.92	77.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.85	1192164	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v1/time.txt
1	native	bump PMA	v2	100	0	3.35	1.29	12.91	77.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.81	1193408	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/streaming/v2/time.txt
1	native	btree	v0	100	0	3.46	1.45	14.47	69.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.11	1323212	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v0/time.txt
1	native	btree	v1	100	0	3.70	1.44	14.37	69.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.34	1324448	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v1/time.txt
1	native	btree	v2	100	0	3.64	1.45	14.48	69.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.30	1322696	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/native/btree/v2/time.txt
1	docker	master	v0	100	0	2.52	4.21	42.05	23.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.06	29776	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v0/time.txt
1	docker	master	v1	100	0	2.52	4.31	43.10	23.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.20	29648	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v1/time.txt
1	docker	master	v2	100	0	2.54	4.44	44.40	22.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.32	30236	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/master/v2/time.txt
1	docker	bump PMA	v0	100	0	3.12	1.34	13.37	74.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.94	30292	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v0/time.txt
1	docker	bump PMA	v1	100	0	3.20	1.35	13.47	74.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.95	30464	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v1/time.txt
1	docker	bump PMA	v2	100	0	3.15	1.36	13.57	73.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.90	29636	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/streaming/v2/time.txt
1	docker	btree	v0	100	0	3.22	1.47	14.69	68.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.20	29824	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v0/time.txt
1	docker	btree	v1	100	0	3.26	1.48	14.82	67.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.33	29976	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v1/time.txt
1	docker	btree	v2	100	0	3.21	1.47	14.67	68.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.25	29824	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass1/docker/btree/v2/time.txt
2	native	master	v0	100	0	2.96	4.01	40.11	24.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.12	1085708	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v0/time.txt
2	native	master	v1	100	0	2.78	4.10	41.03	24.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.03	1085928	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v1/time.txt
2	native	master	v2	100	0	2.76	4.12	41.15	24.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0:07.03	1086912	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/master/v2/time.txt
2	native	bump PMA	v0	100	0	3.55	1.30	13.02	76.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.04	1191492	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v0/time.txt
2	native	bump PMA	v1	100	0	3.56	1.29	12.92	77.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.03	1191640	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v1/time.txt
2	native	bump PMA	v2	100	0	3.35	1.34	13.44	74.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.87	1192400	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/streaming/v2/time.txt
2	native	btree	v0	100	0	3.44	1.44	14.36	69.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0:05.06	1325484	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_164120-sol-100x2-noprofile/runs/pass2/native/btree/v0/time.txt
