pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data
1	native	master	v0	100	0	2.58	3.76	37.65	26.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.55	1087684	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/time.txt	1609	332	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v0/perf.data
1	native	master	v1	100	0	2.65	3.69	36.90	27.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.51	1086968	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/time.txt	1652	342	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v1/perf.data
1	native	master	v2	100	0	2.54	3.85	38.52	25.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.57	1087432	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/time.txt	1701	322	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/master/v2/perf.data
1	native	bump PMA	v0	100	0	3.16	1.37	13.68	73.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.72	1193540	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/time.txt	1266	201	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v0/perf.data
1	native	bump PMA	v1	100	0	3.29	1.28	12.79	78.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.77	1193872	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/time.txt	1313	245	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v1/perf.data
1	native	bump PMA	v2	100	0	3.10	1.29	12.94	77.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.61	1193732	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/time.txt	1219	233	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/streaming/v2/perf.data
1	native	btree	v0	100	0	3.19	1.37	13.65	73.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.75	1324564	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/time.txt	1235	234	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v0/perf.data
1	native	btree	v1	100	0	3.17	1.37	13.73	72.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.78	1325824	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/time.txt	1355	236	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v1/perf.data
1	native	btree	v2	100	0	3.18	1.37	13.71	72.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0:04.78	1324572	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/time.txt	1423	256	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/native/btree/v2/perf.data
1	docker	master	v0	100	0	2.30	3.81	38.12	26.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.44	30272	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/profile.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/bench.log	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/time.txt	0	0	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/perf-summary.json	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/perf-flamegraph.svg	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/perf-report.txt	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/perf.folded	/shared/nockchain-ext4-bench/artifacts/runs/20260217_180344-sol-100x2-tracy-perf-user-only-v2/runs/pass1/docker/master/v0/perf.data
