pass	env	branch	fixture	blocks_poked	failed_pokes	init_time_s	total_poke_time_s	avg_per_block_ms	throughput_blocks_s	checkpoints	samples	gc_events	fault_bursts	peak_rss_mib	p95_rss_mib	peak_pma_rss_mib	peak_pma_size_mib	peak_nockstack_rss_mib	peak_anon_mib	peak_file_mib	minor_faults_delta	major_faults_delta	wall_clock	max_rss_kb	exit_status	profile_path	bench_log	time_log	perf_samples	perf_unique_stacks	perf_summary_json	perf_flamegraph_svg	perf_report_txt	perf_folded	perf_data	tracy_trace	tracy_capture_log	tracy_size_bytes	tracy_frames	tracy_time_span_s	tracy_zones
1	docker	master	v0-4g	100	0	2.55	3.80	37.99	26.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.59	28616	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v0/trace-capture.log	0	0	0	0
1	docker	master	v1-4g	100	0	2.53	4.04	40.43	24.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.82	27692	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v1/trace-capture.log	0	0	0	0
1	docker	master	v2-4g	100	0	2.58	3.99	39.95	25.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.83	28204	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/master/v2/trace-capture.log	0	0	0	0
1	docker	bump PMA	v0-4g	100	0	3.09	9.40	93.98	10.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.74	28360	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v0/trace-capture.log	0	0	0	0
1	docker	bump PMA	v1-4g	100	0	3.02	9.42	94.25	10.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.70	28776	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v1/trace-capture.log	0	0	0	0
1	docker	bump PMA	v2-4g	100	0	3.05	9.44	94.43	10.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.75	28256	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/streaming/v2/trace-capture.log	0	0	0	0
1	docker	btree	v0-4g	100	0	3.11	9.60	96.02	10.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.97	27644	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v0/trace-capture.log	0	0	0	0
1	docker	btree	v1-4g	100	0	3.10	9.63	96.32	10.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.99	28756	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v1/trace-capture.log	0	0	0	0
1	docker	btree	v2-4g	100	0	3.08	9.45	94.49	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0:12.79	27776	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163548-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-4g/runs/pass1/docker/btree/v2/trace-capture.log	0	0	0	0
1	docker	master	v0-8g	100	0	2.55	3.79	37.85	26.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0:06.58	29104	0	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/profile.json	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/bench.log	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/time.txt	0	0	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/perf-summary.json	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/perf-flamegraph.svg	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/perf-report.txt	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/perf.folded	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/perf.data	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/trace.tracy	/shared/nockchain/bench-artifacts/runs/20260227_163726-sol-pma-throughput-ext4-bindwork-shared-rebuild-phase2-8g/runs/pass1/docker/master/v0/trace-capture.log	0	0	0	0
